Id,Sentence,Categories,Target Party,Specificity,Split
32,"not $100,000 degrees and the deregulation from the Liberal Party. </li>",Assertive-V,Liberal,,
33,<li> And we'll clean out the dodgy private providers in vocational education – ,Commissive-A,Labor,Vague,1.0
34,because Labor is backing public TAFE all the way. </li> </LIST>,Assertive,Labor,,
35,<LIST> We choose health.,Assertive,Labor,,
36,<li> Decent funding for our hospitals </li> ,Commissive-A,Labor,Vague,1.0
37,<li> Affordable medicine </li> ,Commissive-O,Labor,,1.0
38,<li> And we choose to protect Medicare </li> </LIST>,Commissive-A,Labor,Vague,1.0
39,"We have chosen in this campaign to prioritise roads, rail and a first rate, fibre National Broadband Network.",Assertive,Labor,,
40,We choose equality and equal treatment for the women of Australia – and an end to family violence.,Assertive,Labor,,
41,We choose real action on climate change and we choose to protect the Great Barrier Reef.,Assertive,Labor,,
42,"Now, our opponents have made their choice too in this campaign.",Assertive,Liberal,,
43,"No amount of waffle dressed up as oratory can disguise the fact that my opponent is – and always will be - a prisoner of his party, a hostage to extreme right-wing ideology.",Assertive,Liberal,,
44,Mr Turnbull says this is a time for stability – ,Assertive,Liberal,,1.0
45,but you cannot have stability without unity.,Assertive-V,Liberal,,
46,"Indeed, you can not have stability when you're cutting Medicare.",Assertive-V,Liberal,,
47,You cannot have stability when you're not funding the schools properly.,Assertive-V,Liberal,,
48,You cannot have stability when you have a poor climate change policy and you offer Australians a second-rate NBN.,Assertive-V,Liberal,,
49,Mr Turnbull does not represent stability.,Assertive-V,Liberal,,
50,And you certainly can not have stability when your party is not united.,Assertive-V,Liberal,,
51,Our party is united – ,Assertive-V,Labor,,1.0
52,the Liberals are not united.,Assertive-V,Liberal,,
53,"The single biggest risk to the Australian economy in the next three years, is three more years of a divided Liberal Government.",Assertive-V,Liberal,,
54,Our people cannot afford another three years of administration from a weak Liberal Prime Minister who spends half his time worrying about his day-job and the other half fighting a civil war within his party.,Assertive,Liberal,,
55,We cannot afford a part-time Prime Minister who doesn't lead his own party.,Assertive,Liberal,,
56,"Behind their forced smiles today and the awkward music, when we watch those Liberals in that party are sharpening their weapons of revenge for the impending civil war in that party after the election.",Assertive,Liberal,,
57,"We know they are doing this because shamefully, their first target is marriage equality.",Assertive,Liberal,,
58,The $160 million plebiscite Malcolm Turnbull seeks to inflict on Australians – the price he price he is saying we must pay for his Prime Ministership – will dredge up prejudice and it will divide our country.,Assertive-V,Liberal,,
59,In Australia - no-one should have to justify their relationships or their  sexuality to anyone else.,Assertive,Labor,,
60,It's no one's business but theirs.,Assertive,Labor,,
61,The Parliament will do its job and we will legislate to make marriage equality a reality within the first 100 days of a new Labor Government.,Commissive-A,Labor,Specific,
62,"Friends, at this election the Liberals are asking Australians for six years.",Assertive,Liberal,,
63,"And in exchange, they offer one policy.",Assertive,Liberal,,
64,A $50 billion giveaway for large multinationals.,Assertive-V,Liberal,,
65,"A cash splash, a ram-raid on the Australian Budget at the expense of schools and hospitals, Medicare and child care.",Assertive-V,Liberal,,
66,"This out-of-touch government are cutting money from families on $50,000 and $60,000  but sending $30 billion overseas and $7.4 billion direct to the profit bottom-line big banks.",Assertive-V,Liberal,,
67,Mr Turnbull Liberals choose multinationals over Medicare.,Assertive-V,Liberal,,
68,They’ve chosen the big banks over the battlers of Australia.,Assertive-V,Liberal,,
69,"A $50 billion hole in the budget, to camouflage a tax cut to foreign shareholders.",Assertive-V,Liberal,,
70,It’s no wonder Mr Turnbull has to be dragged kicking and screaming to talk about his economic policy.,Assertive,Liberal,,
71,How could someone who made a living as an investment banker sign Australia up for such a shotty-poor deal?,Interrogative,Liberal,,
72,"By contrast, Labor has an economic plan to protect the living standards of working and middle class families.",Assertive-V,Labor,,
73,"Under Labor, a couple with two children on a combined income of $90,000 will be over $2200 better off each year.",Assertive-V,Labor,,
74,"Under Labor, a single parent with two teenage kids on $65,000 will be over $3300 a year better off.",Assertive-V,Labor,,
75,"Australians can always know that under Labor, middle class and working class families will always be better off.",Assertive-V,Labor,,
76,"We will help the people who need it, the people who are making Australia – not rewarding banks who don’t deserve the corporate largess that Mr Turnbull wants to poor upon them.",Commissive-A,Labor,Vague,
77,"Today, Mr Turnbull will try and say ‘jobs and growth’ as many times as he can.",Assertive,Liberal,,
78,But repetition and rhetoric are no substitute for real action.,Assertive,Liberal,,
79,You don’t create jobs by cutting infrastructure.,Assertive-V,Liberal,,
80,"You don’t drive innovation by sacking CSIRO scientists and charging $100,000 for a university degree.",Assertive-V,Liberal,,
81,"You don’t create first-class small businesses, with a second-rate NBN.",Assertive-V,Liberal,,
82,And you never grow the economy by shrinking opportunity.,Assertive-V,Liberal,,
83,Friends,Assertive,Other,,1.0
84,The Liberals have got a slogan –,Assertive,Liberal,,1.0
85,Labor has a plan.,Assertive,Labor,,
86,Our New Jobs Tax Cut for small business will encourage small businesses to employ more Australians under 25 and over 55 and Mums and carers returning to work.,Assertive-V,Labor,,
87,"We understand in Labor that when a person loses their job, that is tough, looking for work in a changing economy is hard.",Assertive,Labor,,
88,"The older you are, the tougher it can be.",Assertive,Labor,,
89,We respect our older Australians who want to keep working.,Expressive,Labor,,
90,"We will invest in your work ethic, your experience, your potential.",Commissive-A,Labor,Vague,
91,We will not see a generation of older Australians thrown on the scrapheap.,Commissive-A,Labor,Vague,
92,We will not give up on you – we will not leave you behind.,Commissive-A,Labor,Vague,
93,"We are investing in your work, your potential - we are backing you to keep making a great contribution to this country.",Assertive,Labor,,
94,We need you.,Assertive,Labor,,
95,And the good news is that we are going to be cutting taxes for small business while we do this.,Assertive,Labor,,
96,Labor has a comprehensive plan for Queensland jobs.,Assertive-V,Labor,,
97,"Our new Tourism Infrastructure Fund will bring more visitor dollars and more hospitality jobs to Cairns, Townsville and the regions.",Assertive-V,Labor,,
98,Building the Cross-River Rail and upgrading infrastructure from Gladstone port to Cairns airport will boost productivity and opportunity right across Queensland.,Assertive-V,Labor,,
99,Our decision to prioritise renewable energy will revitalise advanced manufacturing and power the regions.,Assertive-V,Labor,,
100,"Labor’s first-rate NBN, will help small businesses in the regions sell their products and services in our broader region.",Assertive-V,Labor,,
101,We want the best technology for Australians because the world’s best is only just good enough for our country.,Assertive,Labor,,
102,That's the Labor vision.,Assertive,Labor,,
103,And as part of our rock-solid commitment to local jobs we will ensure 1 in 10 workers employed on Labor’s new nation-building projects is an Australian apprentice - apprentices first.,Commissive-A,Labor,Specific,
104,"And today, let me declare that we will crack down on those employers who are rorting 457 visas and exploiting overseas workers.",Commissive-A,Labor,Vague,
105,No-one wins when people are brought in from overseas to do Australians jobs on lower wages and with worse conditions.,Assertive,Labor,,
106,This isn’t a hypothetical proposition.,Assertive,Labor,,
107,We see it in labour hire firms and 7-11s across the country.,Assertive,Labor,,
108,People working for less than half the minimum wage.,Assertive,Labor,,
109,Jobs with no security and no safety net.,Assertive,Labor,,
110,And on top of all this – denying unemployed Australians an opportunity.,Assertive,Labor,,
111,Guest workers have always been apart of our economic mix.,Assertive,Labor,,
112,"Currently, there are 1 million visa-holders with work rights in Australia.",Assertive,Labor,,
113,"And whenever this system is abused, or rorted – it’s more than one individual being ripped off.",Assertive,Labor,,
114,It affects our entire labour market – and our international reputation.,Assertive,Labor,,
115,And it penalises good employers who are doing the right thing.,Assertive,Labor,,
116,"And it creates a new obstacle for the more than 700,000 of our fellow Australians trying to find work.",Assertive,Labor,,
117,As well as the 1 million Australians who regularly record being under-employed who want more hours but can’t get them.,Assertive,Labor,,
118,"And of course, over 800,000 people on the disability support pension and many more job-seekers who are close to giving up.",Assertive,Labor,,
119,We need to give Australians a better chance to participate in our economy and in our community.,Assertive,Labor,,
120,Friends,Assertive,Other,,1.0
121,<LIST> Labor will always fight for fairness in the workplace:,Commissive-A,Labor,Vague,1.0
122,<li>  Penalty rates for people working today </li> ,Commissive-O,Labor,,1.0
123,<li>  Safe rates so truckies don’t cut corners on long distance hauls despite what Mr Turnbull says. </li> ,Commissive-O,Labor,,
124,<li>  Fairness in the workplace requires closing the gender pay gap between women and men. </li> ,Commissive-O,Labor,,
125,<li>  And underpinning the foundation of the fair go alround – a strong national minimum wage. </li>  </LIST>,Commissive-O,Labor,,
126,That’s what we believe in.,Assertive,Labor,,
127,Friends,Assertive,Other,,1.0
128,"We choose Australian wages, Australian apprentices, local jobs, local content, local skills.",Assertive,Labor,,
129,Because I believe in a country where ‘Made in Australia’ still means something on July 3rd.,Assertive,Labor,,
130,Friends,Assertive,Other,,1.0
131,"In Cairns, in Mackay, in Rocky, in Townsville and Gladstone – wherever I go – Queensland schools are full of the same energy and optimism.",Assertive,Other,,
132,"Hard working teachers, motivated kids, loving parents.",Assertive,Other,,
133,But – as we all know – the resources are not the same in every school and every postcode.,Assertive-V,Liberal,,
134,The funding is not the same.,Assertive-V,Liberal,,
135,There is a gathering cloud of inequality in education in this country.,Assertive-V,Liberal,,
136,"Children who need that extra help, falling behind, bright kids in the bush, being held back.",Assertive-V,Liberal,,
137,"Teachers going without the resources they need to help their students read and learn and count, to fall in love with music and science and the arts and technology.",Assertive-V,Liberal,,
138,Children with disability being left out and left behind.,Assertive-V,Liberal,,
139,Parents of children with disability being made to feel like bullies simply because they want equal opportunity for their kids.,Assertive-V,Liberal,,
140,"This isn’t about excitement, or agility – it’s about funding.",Assertive-V,Liberal,,
141,You cannot be an innovation nation unless you are an education nation.,Assertive,Liberal,,
142,Supporting world-class schools and great teachers is not a cost – it’s an investment.,Assertive,Liberal,,
143,"Yet the only time the Liberals say they don’t care about money, is when they’re being asked to spend it on education of Australian children.",Assertive,Liberal,,
144,My message to Australians is this.,Assertive,Labor,,
145,"Next Saturday, when you walk through the gates of your local school to cast your vote remind yourself and your friends and your family that a new Labor government will fully-fund the Gonski reforms.",Directive,Labor,,
146,"Not for two years, not for the short term, but for the next ten years.",Assertive-V,Labor,,
147,"Because Labor knows that every child, in every school, deserves every opportunity to be their best.",Assertive,Labor,,
148,Nothing less will do.,Assertive,Labor,,
149,Friends,Assertive,Other,,1.0
150,What started as an 8 week marathon is now a six-day sprint.,Assertive,Other,,
151,"And in saying that, I'd like to welcome one of the great architects of Medicare, Bill Hayden and Dallas Hayden.",Expressive,Other,,
152,It has been an 8 week marathon but now a six-day sprint.,Assertive,Other,,
153,Six days - and one message to drive home….,Assertive,Labor,,1.0
154,Save Medicare.,Assertive,Labor,,
155,Friends this is the message we will carry everywhere we go.,Assertive,Labor,,
156,"Save Medicare has never meant more, because Medicare has never been under greater threat.",Assertive,Labor,,
157,"Every parent knows the feeling, when your child has a cough that sounds like it’s getting worse or a persistent fever that won’t go away and a mounting temperature.",Assertive,Labor,,
158,"In that moment, you’d give up everything, you’d sell the shirt off your back and the roof over your head",Assertive,Labor,,1.0
159,But because of Medicare – you don’t have to.,Assertive,Labor,,
160,"Every Australian can get the care they need, when they need it.",Assertive,Labor,,
161,Australians take pride in Medicare – and what it means.,Assertive,Labor,,
162,"It’s at the heart of our distinctive character, our egalitarian tradition of the fair go.",Assertive,Labor,,
163,"But the Liberals have spent the last three years trying to hollow-out Medicare…cutting it, taxing it, eating away at its very foundations…",Assertive-S,Liberal,,1.0
164,"Seeking to tear Medicare down, brick by brick, piece by piece.",Assertive-V,Liberal,,
165,"And – last week - when we exposed their hidden agenda for privatising Medicare, they panicked.",Expressive,Liberal,,
166,Now they’re trying to pretend the $5 million privatisation taskforce was just a social club.,Assertive,Liberal,,
167,That the productivity commission review is just a thought experiment.,Assertive,Liberal,,
168,Forget Mr Turnbull’s rhetoric – look at their record.,Assertive,Liberal,,
169,Massive cuts to Medicare – and a massive hit to the cost of living for every Australian family.,Assertive-S,Liberal,,
170,"Cutting bulk-billing, so 14.5 million patients pay more to see a GP.",Assertive-S,Liberal,,
171,"And a typical Australian family with two kids, has to pay an extra $400 a year and that's providing the child doesn't have a serious illness.",Assertive-V,Liberal,,
172,"Increasing the price of medicine, so Australian will pay more every time they need a prescription",Assertive-V,Liberal,,1.0
173,"And imposing new upfront fees and charges for scans, for blood tests, x-rays and diagnostic imaging.",Assertive-V,Liberal,,
174,"<LIST> In fact – from this Friday, from the 1st of July, Mr Turnbull’s cuts to Medicare will mean new fees and charges:",Assertive-V,Liberal,,1.0
175,<li> $100 for a mammogram </li>,Assertive-V,Liberal,,1.0
176,<li> $300 for a Mum being diagnosed with breast cancer </li>,Assertive-V,Liberal,,1.0
177,<li> Over $1000 for an Australian to deal with melanoma </li> </LIST>,Assertive-V,Liberal,,1.0
178,We’re not talking about the common cold here or man flu – we are talking about Australians in the fight of their lives.,Assertive,Liberal,,
179,"When you pay taxes your whole life, most Australians don't ask alot from the Government, they don't ask for the corporate tax cuts, but they do expect having paid their Medicare levy, having paid their taxes, that they will have a Prime Minister in Canberra who prioritises the healthcare of Australians over giving the big banks a tax cut.",Assertive,Liberal,,
180,That's what we will give Australians.,Assertive,Labor,,
181,"Friends, it is as simple as this.",Assertive,Labor,,
182,"If it’s not affordable, if it’s not accessible, if it’s not available to everyone - it’s not Medicare.",Assertive,Labor,,
183,The Liberals have always looked at Medicare as a cost to cut.,Assertive-S,Liberal,,
184,But Medicare isn’t a brand name or a branch office of a multinational company.,Assertive,Labor,,
185,It’s not some ailing industrial conglomerate where you strip out the assets for a corporate raider.,Assertive,Labor,,
186,In our country – in our Labor party - we don’t outsource the responsibility we owe to our fellow Australians.,Assertive,Labor,,
187,We don’t imagine that caring for one another is something that should drive private profits.,Assertive,Labor,,
188,"Medicare is not a hedge fund – it is a national institution, a community standard of the nation we want to see in the mirror.",Assertive,Labor,,
189,It is the great egalitarian idea that universal healthcare is the fundamental basis of a fair go for all.,Assertive,Labor,,
190,"It belongs to all of us – and we will never allow the Liberals to take it away, cut it and undermined it.",Assertive,Labor,,
191,We will fight for Medicare and we will win.,Commissive-A,Labor,Vague,
192,Friends,Assertive,Other,,1.0
193,I know how hard you’ve worked these past 49 days – ,Assertive,Labor,,1.0
194,I thank you for that.,Expressive,Labor,,
195,But it’s time to summon up that final ounce of energy.,Assertive,Labor,,
196,It’s time to find the next gear.,Assertive,Labor,,
197,It is now or never – it’s up to all of us.,Assertive,Labor,,
198,"We need to reach out to all those people who haven’t switched on, or haven't made up their mind or haven't tuned into each issue.",Assertive,Labor,,
199,"We need to find extra bit of energy, that extra bit of faith in our cause because there are millions of Australians who have faith in Labor.",Assertive,Labor,,
200,"There are millions of Australians who need a Labor Government, who want the strength of a Labor Government.",Assertive,Labor,,
201,There are millions of Australians who count upon us to fight as hard as we can for the causes which matter to Working class and Middle class Australians.,Assertive,Labor,,
202,"When you feel you've done enough, I ask you to think of these people... families, pensioners, mums seeking to go back to work but burdened by the high price of childcare, people looking for work, small business people frustrated with second-rate NBN.",Directive,Labor,,
203,All of these people count upon us.,Assertive,Labor,,
204,"They count upon our great movement, on all of us who are joined here in this great state for the fight for our political future, the future of the fair go.",Assertive,Labor,,
205,This is our moment.,Assertive,Labor,,
206,We can look back at what other generations in other elections have done.,Assertive,Labor,,
207,"But this is now our time, be you 15 or 85, this is our time to stand up for the things which make this country a great country.",Assertive,Labor,,
208,We must use every remaining moment at our disposal.,Assertive,Labor,,
209,"Every conversation counts, every telephone call matters, every door we knock on, tell your friends, your family, your colleagues, your teammates, your classmates, the people you meet on the pre-polling booths - tell them this:",Assertive,Labor,,1.0
210,That if the people of Australia elect us next Saturday…,Assertive,Labor,,1.0
211,We will create local jobs and train Australian apprentices,Commissive-A,Labor,Vague,
212,We will properly fund our schools and hospitals.,Commissive-A,Labor,Vague,
213,We will take real action on climate change and put the matter beyond doubt.,Commissive-A,Labor,Vague,
214,We will make the equality for women a national priority.,Commissive-A,Labor,Vague,
215,We will end the buffering nightmare and build a first-class NBN for the 21st century.,Commissive-A,Labor,Vague,
216,We will back public TAFE.,Commissive-A,Labor,Vague,
217,We will make sure that dream of affording your first home is one which realised.,Commissive-A,Labor,Vague,
218,"We will keep university affordable for bright working class and middle class kids because a degree shouldn’t cost $100,000.",Commissive-A,Labor,Vague,
219,We will roll back the tide of inequality which is growing in this country.,Commissive-A,Labor,Vague,
220,We will make marriage equality a reality.,Commissive-A,Labor,Vague,
221,We will hold a Royal Commission into the Banks.,Commissive-A,Labor,Vague,
222,And - above all - we will Save Medicare,Commissive-A,Labor,Vague,1.0
223,"Thank you all very much, we can win this election,",Expressive,Labor,,1.0
224,Thank you.,Expressive,Labor,,
